Designator,Mid X,Mid Y,Rotation,Layer
BT1,70.625,34.360091,180.0,bottom
BZ1,63.753431,15.155,0.0,top
C1,48.465,8.11,180.0,top
C10,22.025,9.03825,0.0,top
C11,22.045,19.6115,0.0,top
C12,22.045,18.0815,0.0,top
C13,22.025,10.555,0.0,top
C14,35.245,18.105,90.0,top
C15,41.115,18.095,90.0,top
C16,35.245,10.615,270.0,top
C17,63.005,45.865,270.0,top
C18,56.765,41.545,180.0,top
C2,48.465,9.64,180.0,top
C29,27.91953,7.154765,180.0,top
C3,48.455,11.205,180.0,top
C30,27.92953,12.224765,0.0,top
C33,56.095,15.96,90.0,top
C39,48.465,15.79,0.0,top
C4,54.305,18.265,90.0,top
C5,56.085,12.585,270.0,top
C6,48.455,20.035,180.0,top
C7,51.855,17.345,180.0,top
C8,18.655,10.555,0.0,top
C9,18.675,18.07825,180.0,top
D1,69.565,8.78,0.0,top
D2,69.565,7.26,0.0,top
D6,3.915,8.015,90.0,top
F1,10.415,9.495,0.0,top
IC1,20.77,14.32,270.0,top
IC2,28.37953,9.689765,180.0,top
IC3,52.21,9.86,0.0,top
IC4,51.865,19.775,270.0,top
J1,23.985,42.045,270.0,top
J10,46.825,32.045,270.0,top
J11,3.815,15.475,0.0,top
J12,10.545,15.475,0.0,top
J13,54.885,29.585,270.0,top
J2,31.685,42.055,270.0,top
J3,23.975,30.745,270.0,top
J4,31.705,30.765,270.0,top
J5,39.39,30.79,270.0,top
J6,39.36,42.04,270.0,top
J8,13.195,42.225,0.0,top
J9,46.965,43.295,270.0,top
L1,28.0,16.955,0.0,top
P8,47.625,51.435,90.0,top
P9,47.625,3.175,90.0,top
Q2,71.465,11.5,90.0,top
R10,72.755,8.78,0.0,top
R11,72.755,7.26,0.0,top
R12,18.655,9.035,0.0,top
R13,18.675,19.605,0.0,top
R16,48.465,12.74,0.0,top
R17,48.465,14.27,0.0,top
R18,16.985,13.025,270.0,top
R19,60.155,41.545,180.0,top
R20,56.655,9.195,270.0,top
R21,55.095,9.195,270.0,top
R22,43.305,8.145,0.0,top
R23,43.305,9.695,0.0,top
R24,73.965,11.295,90.0,top
R7,3.915,10.745,180.0,top
U2,52.74,14.24,0.0,top
U3,58.485,45.06,270.0,top
Y1,53.555,45.525,90.0,top
